,LnHR,SE
zHorvathAgeEAA,0.136,0.0354
zHannumAgeEAA,0.213,0.0356
zPhenoAgeEAA,0.277,0.0397
zGrimAgeMortEAA,0.476,0.0393
zDunedinPoAm,0.327,0.0373
ztelomean_no_outliers,-0.141,0.051
